,,,"Toronto, City [Census subdivision], Ontario",,,,,,"Toronto, Census division [Census division], Ontario"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Age characteristics","  65 years and over",,   15.6,,   14.0,,   17.1,,   15.6,,   14.0,,   17.1,
"Age characteristics","    85 years and over",,    2.4,,    1.8,,    3.0,,    2.4,,    1.8,,    3.0,
"Age characteristics","Average age of the population",,   40.6,,   39.4,,   41.7,,   40.6,,   39.4,,   41.7,
"Age characteristics","Median age of the population",,   39.3,,   38.0,,   40.5,,   39.3,,   38.0,,   40.5,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5, 1112930,,,...,,..., 1112930,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,  269675,,,...,,...,  269675,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,  493280,,,...,,...,  493275,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,  349885,,,...,,...,  349880,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,   71230,,,...,,...,   71225,,,...,,...
"Household and dwelling characteristics","    Row house",,   61630,,,...,,...,   61630,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,   48540,,,...,,...,   48540,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,  165625,,,...,,...,  165630,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,    2860,,,...,,...,    2860,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,      95,,,...,,...,      95,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8, 1112930,,,...,,..., 1112930,,,...,,...
"Household and dwelling characteristics","  1 person",,  359955,,,...,,...,  359955,,,...,,...
"Household and dwelling characteristics","  2 persons",,  333425,,,...,,...,  333425,,,...,,...
"Household and dwelling characteristics","  3 persons",,  175720,,,...,,...,  175720,,,...,,...
"Household and dwelling characteristics","  4 persons",,  146580,,,...,,...,  146580,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,   97245,,,...,,...,   97245,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",, 2691665,,,...,,..., 2691665,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.4,,,...,,...,    2.4,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9, 2333435,, 1109400,, 1224035,, 2333435,, 1109400,, 1224035,
"Marital status","  Married or living common law",, 1181360,,  592560,,  588805,, 1181360,,  592560,,  588800,
"Marital status","    Married",, 1011190,,  505025,,  506165,, 1011185,,  505025,,  506160,
"Marital status","    Living common law",,  170175,,   87535,,   82640,,  170175,,   87535,,   82635,
"Marital status","  Not married and not living common law",, 1152075,,  516840,,  635240,, 1152075,,  516840,,  635235,
"Marital status","    Never married",,  806265,,  410975,,  395295,,  806270,,  410970,,  395295,
"Marital status","    Separated",,   68715,,   27570,,   41145,,   68715,,   27570,,   41145,
"Marital status","    Divorced",,  152000,,   55490,,   96515,,  152000,,   55485,,   96510,
"Marital status","    Widowed",,  125095,,   22810,,  102285,,  125100,,   22810,,  102285,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,  718750,,,...,,...,  718755,,,...,,...
"Family characteristics","  2 persons",,  344110,,,...,,...,  344110,,,...,,...
"Family characteristics","  3 persons",,  174600,,,...,,...,  174600,,,...,,...
"Family characteristics","  4 persons",,  143250,,,...,,...,  143250,,,...,,...
"Family characteristics","  5 or more persons",,   56795,,,...,,...,   56795,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,  718755,,,...,,...,  718755,,,...,,...
"Family characteristics","  Total couple families",,  566155,,,...,,...,  566155,,,...,,...
"Family characteristics","    Married couples",,  481125,,,...,,...,  481125,,,...,,...
"Family characteristics","    Common-law couples",,   85030,,,...,,...,   85030,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,  152595,,,...,,...,  152600,,,...,,...
"Family characteristics","    Female parent",,  128550,,,...,,...,  128545,,,...,,...
"Family characteristics","    Male parent",,   24050,,,...,,...,   24055,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,  566155,,,...,,...,  566155,,,...,,...
"Family characteristics","  Couples without children",,  250085,,,...,,...,  250085,,,...,,...
"Family characteristics","  Couples with children",,  316075,,,...,,...,  316070,,,...,,...
"Family characteristics","    1 child",,  133440,,,...,,...,  133440,,,...,,...
"Family characteristics","    2 children",,  130765,,,...,,...,  130765,,,...,,...
"Family characteristics","    3 or more children",,   51865,,,...,,...,   51865,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,  152600,,,...,,...,  152595,,,...,,...
"Family characteristics","  1 child",,   94025,,,...,,...,   94025,,,...,,...
"Family characteristics","  2 children",,   41160,,,...,,...,   41160,,,...,,...
"Family characteristics","  3 or more children",,   17415,,,...,,...,   17415,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,  602855,,  277825,,  325035,,  602860,,  277825,,  325035,
"Household type","Total - Private households by household type - 100% data",12, 1112930,,,...,,..., 1112930,,,...,,...
"Household type","  One-census-family households",,  653360,,,...,,...,  653360,,,...,,...
"Household type","    Without children in a census family",13,  226080,,,...,,...,  226080,,,...,,...
"Household type","    With children in a census family",14,  427280,,,...,,...,  427275,,,...,,...
"Household type","  Multiple-census-family households",,   31600,,,...,,...,   31600,,,...,,...
"Household type","  Non-census-family households",,  427970,,,...,,...,  427975,,,...,,...
"Household type","    One-person households",,  359960,,,...,,...,  359960,,,...,,...
"Household type","    Two-or-more person non-census-family households",,   68015,,,...,,...,   68010,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15, 2704415,, 1301905,, 1402510,, 2704415,, 1301900,, 1402515,
"Knowledge of official languages","  English only",, 2323235,, 1139585,, 1183655,, 2323235,, 1139580,, 1183655,
"Knowledge of official languages","  French only",,    2725,,    1140,,    1585,,    2725,,    1140,,    1580,
"Knowledge of official languages","  English and French",,  245695,,  107985,,  137705,,  245695,,  107985,,  137705,
"Knowledge of official languages","  Neither English nor French",,  132765,,   53195,,   79570,,  132765,,   53195,,   79570,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16, 2704415,, 1301905,, 1402515,, 2704420,, 1301905,, 1402515,
"First official language spoken","  English",, 2508815,, 1219600,, 1289220,, 2508815,, 1219600,, 1289215,
"First official language spoken","  French",,   39795,,   18805,,   20995,,   39795,,   18800,,   20995,
"First official language spoken","  English and French",,   24865,,   11205,,   13660,,   24865,,   11210,,   13660,
"First official language spoken","  Neither English nor French",,  130940,,   52295,,   78640,,  130940,,   52295,,   78645,
"First official language spoken","Official language minority (number)",17,   52230,,   24405,,   27820,,   52230,,   24405,,   27825,
"First official language spoken","Official language minority (percentage)",17,    1.9,,    1.9,,    2.0,,    1.9,,    1.9,,    2.0,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18, 2704420,, 1301905,, 1402515,, 2704415,, 1301905,, 1402515,
"Mother tongue","  Single responses",, 2598230,, 1251220,, 1347010,, 2598230,, 1251215,, 1347010,
"Mother tongue","    Official languages",, 1411345,,  697965,,  713380,, 1411345,,  697965,,  713380,
"Mother tongue","      English",, 1375900,,  681120,,  694780,, 1375905,,  681120,,  694785,
"Mother tongue","      French",,   35440,,   16845,,   18595,,   35440,,   16840,,   18595,
"Mother tongue","    Non-official languages",, 1186885,,  553255,,  633635,, 1186885,,  553250,,  633630,
"Mother tongue","      Aboriginal languages",,     425,,     185,,     235,,     420,,     185,,     235,
"Mother tongue","        Algonquian languages",,     315,,     140,,     175,,     310,,     135,,     170,
"Mother tongue","          Blackfoot",,       0,,       5,,       0,,       5,,       0,,       5,
"Mother tongue","          Cree-Montagnais languages",,      90,,      35,,      55,,      90,,      35,,      50,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       5,,       5,,       0,,       0,,       5,,       0,
"Mother tongue","            Moose Cree",,      10,,       5,,       5,,       5,,       5,,       5,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       5,,       5,,       0,,       0,,       0,,       0,
"Mother tongue","            Plains Cree",,      10,,       0,,       5,,      10,,       5,,       5,
"Mother tongue","            Southern East Cree",,       5,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Swampy Cree",,      20,,       5,,      15,,      20,,      10,,      15,
"Mother tongue","            Woods Cree",,       5,,       5,,       0,,       0,,       0,,       0,
"Mother tongue","            Cree; n.o.s.",,      45,,      15,,      30,,      40,,      15,,      30,
"Mother tongue","          Eastern Algonquian languages",,      20,,      10,,      10,,      20,,      10,,      10,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Mi'kmaq",,      20,,      10,,      10,,      20,,      10,,      10,
"Mother tongue","          Ojibway-Potawatomi languages",,     195,,      95,,     105,,     200,,      95,,     105,
"Mother tongue","            Algonquin",,       5,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Ojibway",,     175,,      85,,      90,,     175,,      85,,      90,
"Mother tongue","            Oji-Cree",,       5,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","            Ottawa (Odawa)",,      10,,       5,,       5,,      10,,       0,,      10,
"Mother tongue","          Algonquian languages; n.i.e.",,       5,,       5,,       5,,       5,,       0,,       5,
"Mother tongue","        Athabaskan languages",,      15,,      10,,       5,,      15,,      10,,       5,
"Mother tongue","          Northern Athabaskan languages",,      10,,      10,,       5,,      10,,       5,,       5,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Beaver",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Carrier",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Chilcotin",,       5,,       0,,       5,,       5,,       0,,       0,
"Mother tongue","            Dene",,       5,,       5,,       5,,       5,,       5,,       0,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Sarsi (Sarcee)",,       5,,       5,,       0,,       5,,       0,,       0,
"Mother tongue","            Sekani",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       5,,       5,,       5,,       5,,       0,,       5,
"Mother tongue","        Haida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Inuit languages",,      20,,       0,,      20,,      20,,       0,,      15,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Inuktitut",,      15,,       0,,      20,,      20,,       5,,      20,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","        Iroquoian languages",,      10,,       0,,      10,,      10,,       0,,      10,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       5,,       5,,       5,,      10,,       5,,       5,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       5,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Michif",,       5,,       0,,       5,,       5,,       5,,       5,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Comox",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Squamish",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Straits",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Siouan languages",,       5,,       0,,       0,,       0,,       5,,       0,
"Mother tongue","          Dakota",,       0,,       5,,       0,,       5,,       0,,       0,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nisga'a",,       0,,       5,,       0,,       5,,       0,,       0,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Wakashan languages",,       5,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Haisla",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,      55,,      30,,      25,,      55,,      30,,      25,
"Mother tongue","      Non-Aboriginal languages",, 1186465,,  553070,,  633395,, 1186465,,  553065,,  633395,
"Mother tongue","        Afro-Asiatic languages",,   65540,,   32330,,   33205,,   65540,,   32330,,   33205,
"Mother tongue","          Berber languages",,     135,,      80,,      55,,     130,,      75,,      50,
"Mother tongue","            Kabyle",,      60,,      30,,      25,,      55,,      30,,      25,
"Mother tongue","            Berber languages; n.i.e.",,      75,,      45,,      30,,      75,,      50,,      30,
"Mother tongue","          Cushitic languages",,   12355,,    5300,,    7050,,   12355,,    5305,,    7055,
"Mother tongue","            Bilen",,      75,,      45,,      30,,      75,,      40,,      30,
"Mother tongue","            Oromo",,     860,,     420,,     435,,     860,,     420,,     440,
"Mother tongue","            Somali",,   11375,,    4810,,    6565,,   11375,,    4810,,    6560,
"Mother tongue","            Cushitic languages; n.i.e.",,      50,,      30,,      20,,      50,,      30,,      25,
"Mother tongue","          Semitic languages",,   52845,,   26840,,   26010,,   52845,,   26840,,   26005,
"Mother tongue","            Amharic",,    6425,,    2880,,    3550,,    6430,,    2880,,    3545,
"Mother tongue","            Arabic",,   29825,,   15745,,   14075,,   29825,,   15750,,   14075,
"Mother tongue","            Assyrian Neo-Aramaic",,    4840,,    2360,,    2480,,    4840,,    2360,,    2480,
"Mother tongue","            Chaldean Neo-Aramaic",,     700,,     360,,     335,,     695,,     360,,     335,
"Mother tongue","            Harari",,     755,,     350,,     405,,     755,,     345,,     410,
"Mother tongue","            Hebrew",,    4350,,    2345,,    2005,,    4350,,    2350,,    2000,
"Mother tongue","            Maltese",,    1430,,     715,,     710,,    1430,,     715,,     715,
"Mother tongue","            Tigrigna",,    4150,,    1890,,    2260,,    4150,,    1885,,    2260,
"Mother tongue","            Semitic languages; n.i.e.",,     380,,     190,,     190,,     375,,     190,,     185,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,     200,,     115,,      90,,     200,,     115,,      90,
"Mother tongue","        Austro-Asiatic languages",,   26165,,   11860,,   14305,,   26160,,   11855,,   14305,
"Mother tongue","          Khmer (Cambodian)",,    1365,,     595,,     770,,    1365,,     595,,     770,
"Mother tongue","          Vietnamese",,   24775,,   11255,,   13520,,   24775,,   11255,,   13520,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,      20,,      10,,      15,,      20,,       5,,      10,
"Mother tongue","        Austronesian languages",,   99750,,   39030,,   60725,,   99755,,   39025,,   60725,
"Mother tongue","          Bikol",,     320,,     135,,     185,,     320,,     135,,     180,
"Mother tongue","          Cebuano",,    3390,,    1335,,    2055,,    3390,,    1335,,    2055,
"Mother tongue","          Fijian",,      25,,      15,,      10,,      30,,      15,,      15,
"Mother tongue","          Hiligaynon",,    1695,,     665,,    1040,,    1695,,     660,,    1035,
"Mother tongue","          Ilocano",,    7135,,    2765,,    4375,,    7135,,    2765,,    4375,
"Mother tongue","          Malagasy",,      20,,      10,,      10,,      15,,      10,,      10,
"Mother tongue","          Malay",,    1930,,     880,,    1050,,    1930,,     885,,    1050,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     720,,     310,,     410,,     720,,     310,,     410,
"Mother tongue","          Pangasinan",,     320,,     125,,     200,,     320,,     120,,     200,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,   83230,,   32445,,   50785,,   83230,,   32445,,   50790,
"Mother tongue","          Waray-Waray",,     210,,      60,,     150,,     210,,      60,,     155,
"Mother tongue","          Austronesian languages; n.i.e.",,     755,,     290,,     465,,     760,,     290,,     465,
"Mother tongue","        Creole languages",,    3015,,    1350,,    1660,,    3015,,    1350,,    1665,
"Mother tongue","          Haitian Creole",,     165,,      75,,      85,,     165,,      75,,      85,
"Mother tongue","          Creole; n.o.s.",,    1825,,     815,,    1010,,    1825,,     815,,    1015,
"Mother tongue","          Creole languages; n.i.e.",,    1020,,     460,,     560,,    1025,,     460,,     560,
"Mother tongue","        Dravidian languages",,   67055,,   33175,,   33880,,   67055,,   33175,,   33875,
"Mother tongue","          Kannada",,     730,,     380,,     350,,     730,,     380,,     350,
"Mother tongue","          Malayalam",,    4560,,    2460,,    2100,,    4560,,    2465,,    2100,
"Mother tongue","          Tamil",,   57535,,   27935,,   29600,,   57530,,   27935,,   29600,
"Mother tongue","          Telugu",,    4125,,    2355,,    1775,,    4125,,    2350,,    1770,
"Mother tongue","          Dravidian languages; n.i.e.",,     100,,      45,,      55,,     100,,      45,,      55,
"Mother tongue","        Hmong-Mien languages",,      20,,       5,,      10,,      15,,       5,,      15,
"Mother tongue","        Indo-European languages",,  589410,,  282355,,  307055,,  589415,,  282355,,  307055,
"Mother tongue","          Albanian",,    8495,,    4225,,    4270,,    8500,,    4225,,    4275,
"Mother tongue","          Armenian",,    7845,,    3740,,    4105,,    7845,,    3745,,    4105,
"Mother tongue","          Balto-Slavic languages",,  120445,,   53650,,   66790,,  120445,,   53655,,   66790,
"Mother tongue","            Baltic languages",,    3490,,    1365,,    2125,,    3490,,    1365,,    2125,
"Mother tongue","              Latvian",,    1610,,     645,,     965,,    1605,,     640,,     965,
"Mother tongue","              Lithuanian",,    1880,,     725,,    1160,,    1885,,     725,,    1160,
"Mother tongue","            Slavic languages",,  116955,,   52290,,   64665,,  116955,,   52290,,   64665,
"Mother tongue","              Belarusan",,     195,,      95,,     100,,     195,,      95,,     100,
"Mother tongue","              Bosnian",,    1105,,     525,,     580,,    1110,,     530,,     580,
"Mother tongue","              Bulgarian",,    4345,,    2075,,    2270,,    4345,,    2075,,    2270,
"Mother tongue","              Croatian",,    5570,,    2535,,    3035,,    5565,,    2535,,    3035,
"Mother tongue","              Czech",,    2860,,    1345,,    1515,,    2860,,    1345,,    1515,
"Mother tongue","              Macedonian",,    6190,,    2920,,    3270,,    6190,,    2920,,    3270,
"Mother tongue","              Polish",,   25060,,   10845,,   14215,,   25060,,   10845,,   14215,
"Mother tongue","              Russian",,   36145,,   15805,,   20345,,   36145,,   15805,,   20340,
"Mother tongue","              Serbian",,   13380,,    6450,,    6930,,   13385,,    6450,,    6935,
"Mother tongue","              Serbo-Croatian",,    1470,,     670,,     800,,    1470,,     670,,     800,
"Mother tongue","              Slovak",,    3095,,    1455,,    1645,,    3095,,    1455,,    1645,
"Mother tongue","              Slovene (Slovenian)",,    1785,,     750,,    1035,,    1785,,     750,,    1040,
"Mother tongue","              Ukrainian",,   15465,,    6685,,    8785,,   15465,,    6685,,    8780,
"Mother tongue","              Slavic languages; n.i.e.",,     280,,     140,,     140,,     280,,     140,,     140,
"Mother tongue","          Celtic languages",,     275,,     125,,     145,,     275,,     130,,     145,
"Mother tongue","            Scottish Gaelic",,      80,,      35,,      40,,      80,,      35,,      40,
"Mother tongue","            Welsh",,      85,,      30,,      55,,      85,,      30,,      55,
"Mother tongue","            Celtic languages; n.i.e.",,     110,,      60,,      45,,     110,,      60,,      50,
"Mother tongue","          Germanic languages",,   22310,,   10095,,   12215,,   22310,,   10095,,   12215,
"Mother tongue","            Afrikaans",,     405,,     210,,     190,,     400,,     215,,     190,
"Mother tongue","            Danish",,     665,,     285,,     380,,     665,,     290,,     380,
"Mother tongue","            Dutch",,    3180,,    1535,,    1645,,    3185,,    1535,,    1645,
"Mother tongue","            Frisian",,      40,,      25,,      15,,      40,,      20,,      15,
"Mother tongue","            German",,   14515,,    6440,,    8075,,   14520,,    6440,,    8080,
"Mother tongue","            Icelandic",,      65,,      35,,      30,,      60,,      35,,      30,
"Mother tongue","            Norwegian",,     230,,     105,,     130,,     225,,     105,,     125,
"Mother tongue","            Swedish",,     700,,     305,,     395,,     700,,     305,,     390,
"Mother tongue","            Vlaams (Flemish)",,     130,,      50,,      80,,     130,,      50,,      85,
"Mother tongue","            Yiddish",,    2350,,    1095,,    1255,,    2350,,    1095,,    1255,
"Mother tongue","            Germanic languages; n.i.e.",,      35,,      15,,      20,,      35,,      15,,      20,
"Mother tongue","          Greek",,   27840,,   13415,,   14425,,   27840,,   13415,,   14420,
"Mother tongue","          Indo-Iranian languages",,  194760,,   99110,,   95650,,  194765,,   99115,,   95650,
"Mother tongue","            Indo-Aryan languages",,  138625,,   70700,,   67930,,  138625,,   70700,,   67925,
"Mother tongue","              Bengali",,   28460,,   14365,,   14090,,   28460,,   14370,,   14095,
"Mother tongue","              Gujarati",,   26400,,   13520,,   12880,,   26400,,   13515,,   12880,
"Mother tongue","              Hindi",,   15230,,    7960,,    7270,,   15235,,    7960,,    7270,
"Mother tongue","              Kashmiri",,      80,,      45,,      40,,      75,,      40,,      35,
"Mother tongue","              Konkani",,     745,,     355,,     390,,     745,,     350,,     390,
"Mother tongue","              Marathi",,    1760,,     925,,     835,,    1760,,     930,,     830,
"Mother tongue","              Nepali",,    2540,,    1290,,    1245,,    2540,,    1295,,    1245,
"Mother tongue","              Oriya (Odia)",,     300,,     165,,     135,,     300,,     165,,     135,
"Mother tongue","              Punjabi (Panjabi)",,   19965,,   10380,,    9590,,   19965,,   10375,,    9590,
"Mother tongue","              Sindhi",,    2440,,    1080,,    1355,,    2440,,    1080,,    1360,
"Mother tongue","              Sinhala (Sinhalese)",,    3280,,    1605,,    1675,,    3280,,    1600,,    1675,
"Mother tongue","              Urdu",,   37420,,   19005,,   18420,,   37420,,   19005,,   18415,
"Mother tongue","            Iranian languages",,   55190,,   27895,,   27295,,   55195,,   27900,,   27300,
